miRNA,D10_WT_Fe_Ov-1,D10_WT_Fe_Ov-2,D10_WT_Fe_Ov-3,D10_MT_Fe_Ov-1,D10_MT_Fe_Ov-2,D10_MT_Fe_Ov-3,D10_WT_Ma_Te-1,D10_WT_Ma_Te-2,D10_WT_Ma_Te-3,D30_WT_Fe_Ov-1,D30_WT_Fe_Ov-2,D30_WT_Fe_Ov-3,D30_MT_Fe_Ov-1,D30_MT_Fe_Ov-2,D30_MT_Fe_Ov-3,D30_WT_Ma_Te-1,D30_WT_Ma_Te-2,D30_WT_Ma_Te-3,D120_WT_Fe_Ov-1,D120_WT_Fe_Ov-2,D120_WT_Fe_Ov-3,D120_MT_Fe_Ov-1,D120_MT_Fe_Ov-2,D120_MT_Fe_Ov-3,D120_WT_Ma_Te-1,D120_WT_Ma_Te-2,D120_WT_Ma_Te-3
ola-miR-338-2-5p,0.539000456,0.932387023,1.65266515,0,0,0.113395566,1.974509088,0.397003733,0.341649033,0,0,0,0,0,0,5.623516797,0,0,2.178499733,5.401443834,3.901637761,7.575834099,5.414587207,2.217986689,4.335054639,1.897148017,7.849724867
ola-miR-33a-3p,3.36875285,0.466193511,2.272414581,4.115319483,2.249525631,4.87600932,1.184705453,0.397003733,0.683298066,0,0,0,0,0,0,0,2.040687222,0,3.267749599,2.274292141,2.438523601,1.262639017,2.320537375,1.478657793,7.80309835,2.845722026,2.616574956
ola-miR-33-5p,333.5065321,30.06948148,202.8646471,215.2312089,97.29198355,270.9020062,28.82783268,17.46816427,15.03255744,0,1.907152202,1.618429379,27.966552,0,37.01657773,1113.456326,753.0135849,705.1047608,1281.502468,2061.077253,2662.380067,1590.925161,2217.273461,1126.737238,4887.3406,3503.083814,2605.236464
ola-miR-33ba-3p,1.751751482,1.398580534,0,0,0,0.680373393,0.394901818,0.397003733,0.683298066,0,0,0,0,0,0,0,0,0,1.633874799,1.421432588,4.877047202,1.893958525,2.707293604,2.217986689,9.537120206,2.845722026,4.36095826
ola-miR-34a-5p,5802.878909,5848.164503,7700.180099,7011.818512,6407.5863,7345.764738,3817.51587,3885.078535,6351.141637,498.6915519,713.2749236,608.5294465,2489.023128,2787.20088,1993.200339,2210.042101,2199.860825,2490.930837,737.9667844,951.5069744,791.0570561,1030.944757,684.1717693,858.3608487,1712.346582,1897.148017,1280.377345
ola-miR-3618-5p,0.134750114,0.466193511,0.619749431,0,0,0.680373393,0,0,0.227766022,0,0,0,0,0,0,0,0,0,1.089249866,0.284286518,0.48770472,1.262639017,0.773512458,0,0.867010928,3.794296035,1.744383304
ola-miR-365-2b-5p,55.38229685,80.88457422,28.09530755,80.93461649,61.29957345,37.30714107,47.78311992,88.53183255,65.93826334,45.67224609,0,161.8429379,0,55.01054369,0,1.874505599,0,3.29488206,7.080124131,6.254303387,15.11884632,13.25770967,5.414587207,2.957315585,1.734021856,2.845722026,0.872191652
ola-miR-365-2b-3p,16.57426402,25.87373988,40.90346246,7.819107017,27.55668898,11.11276543,44.62390538,35.73033601,14.23537637,122.2041179,80.10039249,105.1979096,130.510576,1503.621527,48.40629396,234.3131999,128.563295,247.1161545,33.76674586,64.24875298,66.81554666,36.61653148,33.2610357,104.2453744,34.68043711,31.30294229,58.43684068
ola-miR-375a-3p,3442.730663,3681.297062,3167.745926,3621.755499,3370.164317,4494.433242,2863.038177,3433.288287,4691.980051,9666.469165,8944.543828,7271.6032,3644.973944,3373.980013,1506.289971,1147.197427,848.9258843,1110.375254,426.9859476,684.8462209,732.0447849,849.7560581,524.0546904,626.9509041,156.061967,123.3146211,687.2870217
ola-miR-425-5p,177.1963999,190.6731461,216.9123009,228.263054,181.4617343,244.0272571,287.0936213,416.0599126,235.7378327,1713.326421,3217.365765,2325.683018,3589.04084,6087.833501,1526.221974,1835.140982,1781.519945,2253.699329,3238.884477,2644.717473,2232.712209,3505.717229,1702.114164,2654.190738,678.0025455,673.4875462,1161.75928
ola-miR-425-3p,11.45375969,6.060515647,7.850159462,11.66007187,8.810642056,18.59687275,6.318429081,7.940074668,6.263565602,151.8293586,139.2221108,8.092146895,93.22184001,201.7053269,14.23714528,114.3448415,51.01718055,98.84646179,228.7424719,249.887849,257.995797,219.0678694,162.05086,195.1828286,55.48869938,71.14305065,87.21916519
ola-miR-429a-5p,0.269500228,0,0,0.137177316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948574009,0
ola-miR-429a-3p,13338.77903,12151.80007,11055.29694,12708.24374,12532.29475,18402.05917,8477.752219,13843.91719,11734.96098,4847.43001,7249.085521,5680.68712,17180.78511,10727.05602,8903.910659,9140.089301,9221.865555,11107.04742,1546.190185,1964.704123,2228.322866,2157.21876,2076.107438,2019.846545,625.1148789,524.5614268,2455.2195
ola-miR-430a-1-3p,69.80055905,32.86664255,37.59813216,34.56868365,47.98988013,76.31521563,35.54116358,35.33333227,32.11500909,34.56278082,85.8218491,58.26345764,512.7201201,201.7053269,737.4841256,324.2894687,228.5569688,319.6035598,22.32962226,18.47862364,231.1720374,15.1516682,15.85700539,23.65852468,43.35054639,65.4516066,48.84273251
ola-miR-430a-2/3-3p,1.34750114,0,0.413166287,1.371773161,0,0.680373393,0.394901818,0,0.797181077,0,0,0,0,0,0,0,0,0,0,0.852859553,2.438523601,0.631319508,0.773512458,0,3.468043711,0,3.488766608
ola-miR-430a-4-3p,12.80126083,10.489354,8.676492036,10.42547602,9.935404871,17.8031038,9.477643621,12.70411947,9.68005593,0,0,0,158.477128,128.3579353,190.7777468,213.6936383,144.8887927,200.9878056,31.58824612,24.164354,225.3195807,22.09618279,20.11132391,33.26980034,183.8063167,211.5320039,173.5661387
ola-miR-430b-1-3p,39.61653352,18.88083721,20.65831437,18.93046962,33.74288447,45.69841293,28.43293086,27.79026134,25.9653265,151.8293586,181.1794592,116.5269153,661.8750641,531.768589,1301.275079,496.7439838,434.6663782,494.232309,33.76674586,28.9972248,277.5039858,18.30826574,25.91266735,34.74845813,183.8063167,229.5549101,175.310522
ola-miR-430b-2-3p,0.539000456,0,0,0,0,0.453582262,0,0,0.227766022,0,0,0,0,0,0,0,2.040687222,3.29488206,0,0,0.97540944,0,0,0,0,0.948574009,0
ola-miR-430c-3p,95.2683306,68.29734941,75.6094306,81.48332575,89.79356478,118.8385527,131.5023052,149.6704075,108.9860415,267.8615514,179.272307,192.5930961,1072.05116,843.4950032,1728.389437,1593.329759,1350.934941,1624.376855,376.8804537,317.2637536,1467.015798,239.9014131,334.5441382,412.5455242,1632.581577,1763.399082,1471.387317
ola-miR-430-d-3-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ola-miR-430-d-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ola-miR-430d-2-11-3p,1.078000912,0.466193511,0.206583144,0,0,0.226791131,0,1.1910112,0.797181077,0,0,0,0,0,0,1.874505599,0,0,0,0.568573035,0.48770472,0.631319508,0,0,0,1.897148017,3.488766608
