miRNA	D10_WT_Fe_Ov-1	D10_WT_Fe_Ov-2	D10_WT_Fe_Ov-3	D10_MT_Fe_Ov-1	D10_MT_Fe_Ov-2	D10_MT_Fe_Ov-3	D10_WT_Ma_Te-1	D10_WT_Ma_Te-2	D10_WT_Ma_Te-3	D30_WT_Fe_Ov-1	D30_WT_Fe_Ov-2	D30_WT_Fe_Ov-3	D30_MT_Fe_Ov-1	D30_MT_Fe_Ov-2	D30_MT_Fe_Ov-3	D30_WT_Ma_Te-1	D30_WT_Ma_Te-2	D30_WT_Ma_Te-3	D120_WT_Fe_Ov-1	D120_WT_Fe_Ov-2	D120_WT_Fe_Ov-3	D120_MT_Fe_Ov-1	D120_MT_Fe_Ov-2	D120_MT_Fe_Ov-3	D120_WT_Ma_Te-1	D120_WT_Ma_Te-2	D120_WT_Ma_Te-3
ola-miR-7-5p	32300	16198	18572	21795	25714	54608	13165	7878	37854	12292	6976	10254	743	261	4651	4643	5301	3649	5799	9294	4819	4913	6860	5650	83535	69576	66303
ola-miR-7a-1-3p	8	8	4	13	8	16	7	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
ola-miR-7a-3-3p	32	16	24	48	43	91	28	6	63	0	0	0	0	0	0	0	1	0	2	2	0	3	5	0	0	2	2
ola-miR-7a-4-3p	2	0	0	0	0	3	0	3	0	0	0	0	4	0	0	1	0	1	0	3	3	5	0	4	61	33	56
ola-miR-7bb-3p	100	68	75	108	112	197	57	10	34	0	1	1	2	1	42	28	20	7	14	36	35	15	23	20	26	19	20
ola-miR-8159-5p	27308	11990	19792	29861	13007	28837	4027	6431	51954	198	33	53	1	128	0	1110	1385	1166	624	1249	819	521	1020	1035	1860	1134	2713
ola-miR-8160a-5p	331	207	308	391	357	659	271	136	724	639	408	762	49	45	159	52	61	33	49	118	54	66	65	42	47	92	53
ola-miR-8160a-3p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ola-miR-9-5p	202495	102525	104877	149849	121909	317251	53124	35220	205797	52	89	79	8	5	13850	124	137	90	253	644	305	178	341	135	367	344	337
ola-miR-9-1-3p	12561	5887	10871	10479	6986	18258	4270	1931	16430	0	0	0	0	0	543	7	8	7	33	56	33	29	55	20	61	60	73
ola-miR-9-4-3p	1627	755	1061	1345	1164	2622	580	111	2039	0	0	0	0	0	0	2	3	0	37	21	28	20	36	8	4	13	10
ola-miR-9-7-3p	3834	1743	3326	3163	2195	4905	1591	328	5199	0	0	0	0	0	1	1	1	0	3	5	13	10	15	4	4	6	9
ola-miR-92a-1-5p	207	125	201	348	177	253	153	158	579	399	305	285	46	56	58	101	82	86	67	240	131	97	138	59	111	71	67
ola-miR-92a-3p	154648	100813	134843	226840	122466	219440	92222	101145	310029	71591	81342	62942	11797	7064	23877	32574	22718	20403	23860	52198	28976	30890	40126	20559	44534	34566	36082
ola-miR-92a-2-5p	93	45	77	165	63	112	34	60	119	0	0	0	5	0	5	14	4	7	15	26	23	23	21	16	17	13	26
ola-miR-92b-3p	9747	6312	5010	10514	8441	11751	4583	2433	8248	1287	757	796	260	169	612	921	640	536	267	858	437	342	592	220	959	716	845
ola-miR-93a-5p	3187	1273	2269	1916	1576	3531	587	760	2247	80	34	5	18	8	26	227	188	165	1192	2052	1432	1244	1766	1167	2404	1804	2536
ola-miR-93a-3p	24	4	17	5	14	29	11	7	3	0	0	0	0	3	0	2	1	1	16	72	25	20	39	16	36	23	54
ola-miR-96-5p	18318	7292	9845	15011	21429	34049	5820	3887	20507	75	55	18	0	0	1269	350	594	397	364	661	718	209	501	310	1046	742	770
ola-miR-96a-3p	52	11	19	14	14	83	10	4	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ola-miR-96b-3p	11	1	1	1	5	29	2	6	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1
ola-miR-99a-5p	57391	33248	41107	65561	46215	91015	27925	18303	92757	2325	1863	2233	326	232	2006	6305	6001	3725	8121	13698	6106	10093	11607	5473	11807	10349	9514
ola-miR-99a-3p	36	9	16	20	26	21	7	8	26	0	0	0	0	0	0	0	0	0	4	7	7	7	13	5	7	5	8
ola-miR-ENSGACG00000022167-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
